"title","year","venue/arXiv","link","cluster","contribution","relevance score","threat level","why it does or does not subsume this project"
"NeRF: Representing Scenes as Neural Radiance Fields for View Synthesis","2020","ECCV","https://arxiv.org/abs/2003.08934","neural rendering","Introduced continuous radiance fields optimized from posed images.","5","medium","Foundational sparse-view 3D representation, but does not study candidate-pool candidate selection or proxy-score exploitation."
"Mip-NeRF: A Multiscale Representation for Anti-Aliasing Neural Radiance Fields","2021","ICCV","https://arxiv.org/abs/2103.13415","neural rendering","Integrated conical frustums for anti-aliased NeRF rendering.","3","low","Improves rendering fidelity; orthogonal to candidate reranking and hidden geometry diagnostics."
"Mip-NeRF 360: Unbounded Anti-Aliased Neural Radiance Fields","2022","CVPR","https://arxiv.org/abs/2111.12077","neural rendering","Extends mip-NeRF to unbounded scenes with distortion regularization.","3","low","Provides regularizers for scene fitting, not a candidate-pool inference failure analysis."
"Instant Neural Graphics Primitives with a Multiresolution Hash Encoding","2022","SIGGRAPH","https://nvlabs.github.io/instant-ngp/","neural rendering","Accelerates implicit scene fitting with hash-grid features.","3","low","Fast representation, but no multi-candidate sparse-view selection mechanism."
"PlenOctrees for Real-Time Rendering of Neural Radiance Fields","2021","ICCV","https://arxiv.org/abs/2103.14024","neural rendering","Caches radiance fields in sparse octrees for real-time rendering.","2","low","Representation acceleration does not subsume proxy exploitation under candidate-pool."
"TensoRF: Tensorial Radiance Fields","2022","ECCV","https://arxiv.org/abs/2203.09517","neural rendering","Factorizes radiance fields into tensor components.","2","low","Efficient representation; not concerned with selection over samples."
"Direct Voxel Grid Optimization: Super-Fast Convergence for Radiance Fields Reconstruction","2022","CVPR","https://arxiv.org/abs/2111.11215","neural rendering","Optimizes dense voxel grids for rapid radiance-field reconstruction.","3","low","Voxel representation is related to our toy benchmark, but the question is reconstruction quality, not candidate-pool bias."
"K-Planes: Explicit Radiance Fields in Space, Time, and Appearance","2023","CVPR","https://arxiv.org/abs/2301.10241","dynamic neural rendering","Uses factorized planes for dynamic radiance fields.","3","low","Dynamic scene representation but no sparse proxy reranking analysis."
"HexPlane: A Fast Representation for Dynamic Scenes","2023","CVPR","https://arxiv.org/abs/2301.09632","dynamic neural rendering","Factorized 4D planes for dynamic novel-view synthesis.","3","low","Relevant architecture class; does not address selection-induced hidden geometry failure."
"Neural Volumes: Learning Dynamic Renderable Volumes from Images","2019","SIGGRAPH","https://arxiv.org/abs/1906.07751","dynamic neural rendering","Learns dynamic volumetric representations for rendering.","3","low","Precursor to scene memories; no candidate-pool inference result."
